,,,,,,,,,,,,,,
"Serie 1.1.2C
Número de defunciones en el año (t+1) en el año por edades simples (meses) a nivel nacional
Periodo 1990 - 2021",,,,,,,,,,,,,,
Años,Total defunciones (t+1)1/,Meses,,,,,,,,,,,,INDICE
,,1,2,3,4,5,6,7,8,9,10,11,,
1990,"4,655",956,643,508,402,298,340,338,330,308,273,259,,
1991,"4,343",918,587,460,397,307,326,276,303,240,269,260,,
1992,"4,259",778,571,415,364,345,343,286,320,289,281,267,,
1993,"3,942",784,554,430,369,278,279,262,290,231,238,227,,
1994,"3,525",536,612,456,346,269,248,237,220,198,218,185,,
1995,"2,911",419,506,342,262,240,209,188,198,192,170,185,,
1996,"2,796",369,523,326,266,244,188,196,167,171,170,176,,
1997,"3,008",366,474,341,298,239,250,212,230,204,198,196,,
1998,"2,701",343,438,302,233,227,198,209,214,198,179,160,,
1999,"2,630",360,488,335,248,233,212,193,153,151,140,117,,
2000,"2,771",352,483,361,280,223,199,189,174,158,189,163,,
2001,"2,357",284,409,303,235,182,166,178,185,147,140,128,,
2002,"2,181",250,364,275,193,200,163,158,162,155,136,125,,
2003,"1,883",261,356,245,164,152,147,103,144,118,96,97,,
2004,"1,751",221,306,231,171,155,130,120,119,98,100,100,,
2005,"1,594",226,305,197,167,114,120,106,106,79,84,90,,
2006,"1,615",226,300,183,167,133,104,98,97,106,101,100,,
2007,"1,428",204,247,179,157,118,101,102,103,74,74,69,,
2008,"1,432",227,272,179,131,119,110,96,89,79,69,61,,
2009,"1,360",202,273,170,144,123,102,73,85,60,64,64,,
2010,"1,368",198,243,160,148,114,118,96,87,82,64,58,,
2011,"1,188",201,246,143,129,85,86,78,75,61,42,42,,
2012,"1,415",240,301,180,151,109,113,71,73,72,61,44,,
2013,"1,357",384,199,149,110,96,85,79,77,75,50,53,,
2014,"1,285",409,178,158,111,90,91,66,50,48,43,41,,
2015,"1,234",382,172,144,82,96,92,72,61,38,47,48,,
2016,"1,305",411,216,124,107,116,70,54,50,71,48,38,,
2017,"1,370",508,211,143,114,82,76,55,65,44,34,38,,
2018,"1,323",465,229,133,106,96,63,61,45,61,32,32,,
2019,"1,321",458,209,154,90,82,57,73,54,58,38,48,,
2020,996,347,157,95,98,57,61,40,38,37,38,28,,
2021 (p**),917,322,124,102,80,66,54,41,31,35,26,36,,
"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 1990-2021.",,,,,,,,,,,,,,
